accession	strain	virus	date	region	country	division	city	db	segment	authors	url	title	journal	paper_url	genbank_accession_rev	updated	ambiguous_strain_names	notes
KY415987	Haiti/0033/2014	zika	2014-05-29	North America	Haiti	Haiti	Haiti	genbank	genome	White et al	https://www.ncbi.nlm.nih.gov/nuccore/KY415987	"Detection and phylogenetic characterization of arbovirus dual-infections among persons during a chikungunya fever outbreak, Haiti 2014"	"PLoS Negl Trop Dis 12 (5), e0006505 (2018)"	https://www.ncbi.nlm.nih.gov/pubmed/29851952	KY415987.1	2022-12-05		dropped contamination present
KY415990	Haiti/0036/2014	zika	2014-06-02	North America	Haiti	Haiti	Haiti	genbank	genome	White et al	https://www.ncbi.nlm.nih.gov/nuccore/KY415990	"Detection and phylogenetic characterization of arbovirus dual-infections among persons during a chikungunya fever outbreak, Haiti 2014"	"PLoS Negl Trop Dis 12 (5), e0006505 (2018)"	https://www.ncbi.nlm.nih.gov/pubmed/29851952	KY415990.1	2022-12-05		dropped contamination present
KY415988	Haiti/0054/2014	zika	2014-06-05	North America	Haiti	Haiti	Haiti	genbank	genome	White et al	https://www.ncbi.nlm.nih.gov/nuccore/KY415988	"Detection and phylogenetic characterization of arbovirus dual-infections among persons during a chikungunya fever outbreak, Haiti 2014"	"PLoS Negl Trop Dis 12 (5), e0006505 (2018)"	https://www.ncbi.nlm.nih.gov/pubmed/29851952	KY415988.1	2022-12-05		dropped contamination present
KY415989	Haiti/0074/2014	zika	2014-06-10	North America	Haiti	Haiti	Haiti	genbank	genome	White et al	https://www.ncbi.nlm.nih.gov/nuccore/KY415989	"Detection and phylogenetic characterization of arbovirus dual-infections among persons during a chikungunya fever outbreak, Haiti 2014"	"PLoS Negl Trop Dis 12 (5), e0006505 (2018)"	https://www.ncbi.nlm.nih.gov/pubmed/29851952	KY415989.1	2022-12-05		dropped contamination present
KY415991	Haiti/0097/2014	zika	2014-06-24	North America	Haiti	Haiti	Haiti	genbank	genome	White et al	https://www.ncbi.nlm.nih.gov/nuccore/KY415991	"Detection and phylogenetic characterization of arbovirus dual-infections among persons during a chikungunya fever outbreak, Haiti 2014"	"PLoS Negl Trop Dis 12 (5), e0006505 (2018)"	https://www.ncbi.nlm.nih.gov/pubmed/29851952	KY415991.1	2022-12-05		dropped contamination present
MN577543	Haiti/1327/2014	zika	2014-12-11	North America	Haiti	Haiti	Haiti	genbank	genome	Alam et al	https://www.ncbi.nlm.nih.gov/nuccore/MN577543	Analysis of Zika Virus Sequence Data Associated with a School Cohort in Haiti	"Am J Trop Med Hyg 107 (4), 873-880 (2022)"	https://www.ncbi.nlm.nih.gov/pubmed/36096408	MN577543.1	2022-12-05		
MF384325	mosquito/Haiti/1682/2016	zika	2016-05-17	North America	Haiti	Haiti	Haiti	genbank	genome	Alam et al	https://www.ncbi.nlm.nih.gov/nuccore/MF384325	Analysis of Zika Virus Sequence Data Associated with a School Cohort in Haiti	"Am J Trop Med Hyg 107 (4), 873-880 (2022)"	https://www.ncbi.nlm.nih.gov/pubmed/36096408	MF384325.1	2022-12-05		dropped contamination present
MF783072	Zika_virus/mosquito/Haiti/1855/2016	zika	2016-06-27	North America	Haiti	Haiti	Haiti	genbank	genome	Alam et al	https://www.ncbi.nlm.nih.gov/nuccore/MF783072	Analysis of Zika Virus Sequence Data Associated with a School Cohort in Haiti	"Am J Trop Med Hyg 107 (4), 873-880 (2022)"	https://www.ncbi.nlm.nih.gov/pubmed/36096408	MF783072.1	2022-12-05	"mosquito/Haiti/1855/2016,Zika_virus/mosquito/Haiti/1855/2016"	
MF783073	Zika_virus/mosquito/Haiti/1919/2016	zika	2016-05-10	North America	Haiti	Haiti	Haiti	genbank	genome	Alam et al	https://www.ncbi.nlm.nih.gov/nuccore/MF783073	Analysis of Zika Virus Sequence Data Associated with a School Cohort in Haiti	"Am J Trop Med Hyg 107 (4), 873-880 (2022)"	https://www.ncbi.nlm.nih.gov/pubmed/36096408	MF783073.1	2022-12-05	"mosquito/Haiti/1919/2016,Zika_virus/mosquito/Haiti/1919/2016"	
OL450365	ZIKV/Haiti/0478/2015	zika	2015-10-08	North America	Haiti	Haiti	Haiti	genbank	genome	Alam et al	https://www.ncbi.nlm.nih.gov/nuccore/OL450365	Analysis of Zika Virus Sequence Data Associated with a School Cohort in Haiti	"Am J Trop Med Hyg 107 (4), 873-880 (2022)"	https://www.ncbi.nlm.nih.gov/pubmed/36096408	OL450365.1	2022-12-05	"Haiti/0478/2015,ZIKV/Haiti/0478/2015"	
